price,address,beds,baths,sqft,link,lot_size
1050000.0,"22-22 Lake St #R, Somerville, MA 02143",3,3,1244.0,https://www.zillow.com/homedetails/22-22-Lake-St-R-Somerville-MA-02143/440237924_zpid/,0
1180000.0,"5 Banks St #2, Somerville, MA 02144",3,2,1795.0,https://www.zillow.com/homedetails/5-Banks-St-2-Somerville-MA-02144/441195932_zpid/,0
1300000.0,"69 Electric Ave, Somerville, MA 02144",5,2,3051.0,https://www.zillow.com/homedetails/69-Electric-Ave-Somerville-MA-02144/56325794_zpid/,0
1270000.0,"41 Oak St #A, Somerville, MA 02143",3,3,1503.0,https://www.zillow.com/homedetails/41-Oak-St-A-Somerville-MA-02143/71008779_zpid/,0
1050000.0,"71 Bow St #501, Somerville, MA 02143",2,2,1202.0,https://www.zillow.com/homedetails/71-Bow-St-501-Somerville-MA-02143/402044467_zpid/,0
1100000.0,"20 Clyde St #1, Somerville, MA 02145",3,2,1592.0,https://www.zillow.com/homedetails/20-Clyde-St-1-Somerville-MA-02145/63010123_zpid/,0
1110000.0,"140 Pearl St #140, Somerville, MA 02145",3,4,1895.0,https://www.zillow.com/homedetails/140-Pearl-St-140-Somerville-MA-02145/352379888_zpid/,0
699900.0,"78 North St #1, Somerville, MA 02144",2,2,1045.0,https://www.zillow.com/homedetails/78-North-St-1-Somerville-MA-02144/339565960_zpid/,0
1150000.0,"71 Bow St #404, Somerville, MA 02143",2,2,1300.0,https://www.zillow.com/homedetails/71-Bow-St-404-Somerville-MA-02143/344645145_zpid/,0
1150000.0,"7-7A Aldersey St #A, Somerville, MA 02143",3,2,1603.0,https://www.zillow.com/homedetails/7-7A-Aldersey-St-A-Somerville-MA-02143/402654070_zpid/,0
1150000.0,"7 Aldersey St #A, Somerville, MA 02143",3,2,1603.0,https://www.zillow.com/homedetails/7-Aldersey-St-A-Somerville-MA-02143/402706171_zpid/,0
985000.0,"466 Medford St #3, Somerville, MA 02145",3,2,1245.0,https://www.zillow.com/homedetails/466-Medford-St-3-Somerville-MA-02145/442379029_zpid/,0
1090000.0,"14 Cypress St, Somerville, MA 02143",4,2,1777.0,https://www.zillow.com/homedetails/14-Cypress-St-Somerville-MA-02143/56329986_zpid/,0
744000.0,"30 School St #3, Somerville, MA 02143",2,1,968.0,https://www.zillow.com/homedetails/30-School-St-3-Somerville-MA-02143/80389948_zpid/,0
1570000.0,"63 Perkins St, Somerville, MA 02145",9,3,4092.0,https://www.zillow.com/homedetails/63-Perkins-St-Somerville-MA-02145/56334663_zpid/,0
1330000.0,"73 Central St UNIT 2, Somerville, MA 02143",3,3,2082.0,https://www.zillow.com/homedetails/73-Central-St-UNIT-2-Somerville-MA-02143/271378943_zpid/,0
643000.0,"296 Summer St #2, Somerville, MA 02144",N/A,1,823.0,https://www.zillow.com/homedetails/296-Summer-St-2-Somerville-MA-02144/63439622_zpid/,0
1730000.0,"59 Linden Ave, Somerville, MA 02143",4,5,2314.0,https://www.zillow.com/homedetails/59-Linden-Ave-Somerville-MA-02143/56328831_zpid/,0
971000.0,"7-7C Aldersey St #C, Somerville, MA 02143",2,2,1070.0,https://www.zillow.com/homedetails/7-7C-Aldersey-St-C-Somerville-MA-02143/399593040_zpid/,0
2330000.0,"96 Munroe St, Somerville, MA 02143",6,4,4335.0,https://www.zillow.com/homedetails/96-Munroe-St-Somerville-MA-02143/56333447_zpid/,0
1010000.0,"19 Fenwick St APT 3, Somerville, MA 02145",3,3,1340.0,https://www.zillow.com/homedetails/19-Fenwick-St-APT-3-Somerville-MA-02145/2054424347_zpid/,0
1120000.0,"71 Bow St #204, Somerville, MA 02143",2,2,1302.0,https://www.zillow.com/homedetails/71-Bow-St-204-Somerville-MA-02143/341584325_zpid/,0
1300000.0,"85 Oxford St #1, Somerville, MA 02143",3,4,2005.0,https://www.zillow.com/homedetails/85-Oxford-St-1-Somerville-MA-02143/402251015_zpid/,0
665000.0,"24 Rush St PENTHOUSE G, Somerville, MA 02145",2,2,1061.0,https://www.zillow.com/homedetails/24-Rush-St-PENTHOUSE-G-Somerville-MA-02145/339506696_zpid/,0
1450000.0,"1 Tannery Brook Row UNIT 1C, Somerville, MA 02144",2,3,1630.0,https://www.zillow.com/homedetails/1-Tannery-Brook-Row-UNIT-1C-Somerville-MA-02144/56324524_zpid/,0
775000.0,"8 Leland St #2, Somerville, MA 02143",2,2,935.0,https://www.zillow.com/homedetails/8-Leland-St-2-Somerville-MA-02143/63010223_zpid/,0
640000.0,"4 Webster St APT 2, Somerville, MA 02145",2,1,859.0,https://www.zillow.com/homedetails/4-Webster-St-APT-2-Somerville-MA-02145/80389896_zpid/,0
1590000.0,"85 Oxford St UNIT 2, Somerville, MA 02143",3,4,2000.0,https://www.zillow.com/homedetails/85-Oxford-St-UNIT-2-Somerville-MA-02143/438454309_zpid/,0
712000.0,"60 Tufts St APT 3, Somerville, MA 02145",N/A,2,1336.0,https://www.zillow.com/homedetails/60-Tufts-St-APT-3-Somerville-MA-02145/59214187_zpid/,0
634500.0,"37 Gordon St UNIT 37, Somerville, MA 02144",2,1,897.0,https://www.zillow.com/homedetails/37-Gordon-St-UNIT-37-Somerville-MA-02144/71005784_zpid/,0
1110000.0,"235 Lowell St #5, Somerville, MA 02143",2,2,1463.0,https://www.zillow.com/homedetails/235-Lowell-St-5-Somerville-MA-02143/166056631_zpid/,0
650000.0,"197 Washington St #307, Somerville, MA 02143",N/A,1,666.0,https://www.zillow.com/homedetails/197-Washington-St-307-Somerville-MA-02143/245572328_zpid/,0
1240000.0,"1060 Broadway #101, Somerville, MA 02144",2,2,1441.0,https://www.zillow.com/homedetails/1060-Broadway-101-Somerville-MA-02144/339506507_zpid/,0
1030000.0,"71 Bow St #201, Somerville, MA 02143",2,2,1250.0,https://www.zillow.com/homedetails/71-Bow-St-201-Somerville-MA-02143/402041456_zpid/,0
699900.0,"130 W Adams St #130, Somerville, MA 02144",2,1,1009.0,https://www.zillow.com/homedetails/130-W-Adams-St-130-Somerville-MA-02144/402736689_zpid/,0
1650000.0,"45 Calvin St, Somerville, MA 02143",11,3,3384.0,https://www.zillow.com/homedetails/45-Calvin-St-Somerville-MA-02143/56332135_zpid/,0
648000.0,"33 Main St UNIT 3, Somerville, MA 02145",2,1,770.0,https://www.zillow.com/homedetails/33-Main-St-UNIT-3-Somerville-MA-02145/67715220_zpid/,0
800000.0,"12 Lovell St #2, Somerville, MA 02144",3,1,1975.0,https://www.zillow.com/homedetails/12-Lovell-St-2-Somerville-MA-02144/339506499_zpid/,0
830000.0,"25 Atherton St APT 17, Somerville, MA 02143",2,1,1018.0,https://www.zillow.com/homedetails/25-Atherton-St-APT-17-Somerville-MA-02143/56537363_zpid/,0
849000.0,"294 Beacon #2, Somerville, MA 02143",2,1,809.0,https://www.zillow.com/homedetails/294-Beacon-2-Somerville-MA-02143/348188209_zpid/,0
1280000.0,"294 Beacon PENTHOUSE 5, Somerville, MA 02143",3,3,1571.0,https://www.zillow.com/homedetails/294-Beacon-PENTHOUSE-5-Somerville-MA-02143/348392195_zpid/,0
1300000.0,"13 Wilson Ave, Somerville, MA 02145",4,2,1597.0,https://www.zillow.com/homedetails/13-Wilson-Ave-Somerville-MA-02145/56327578_zpid/,0
